h	temp	g	p	rho
-1000	21.500	9.810	113900.000	1.347E+00
0	15.000	9.807	101300.000	1.225E+00
1000	8.500	9.804	89880.000	1.112E+00
2000	2.000	9.801	79500.000	1.007E+00
3000	-4.490	9.797	70120.000	9.093E-01
4000	-10.980	9.794	61660.000	8.194E-01
5000	-17.470	9.791	54050.000	7.364E-01
6000	-23.960	9.788	47220.000	6.601E-01
7000	-30.450	9.785	41110.000	5.900E-01
8000	-36.940	9.782	35650.000	5.258E-01
9000	-43.420	9.779	30800.000	4.671E-01
10000	-49.900	9.776	26500.000	4.135E-01
15000	-56.500	9.761	12110.000	1.948E-01
20000	-56.500	9.745	5529.000	8.891E-02
25000	-51.600	9.730	2549.000	4.008E-02
30000	-46.640	9.715	1197.000	1.841E-02
40000	-22.800	9.684	287.000	3.996E-03
50000	-2.500	9.654	79.780	1.027E-03
60000	-26.130	9.624	21.960	3.097E-04
70000	-53.570	9.594	5.200	8.283E-05
80000	-74.510	9.564	1.100	1.846E-05
